participant_id,session_id,participant_type,team_name,team_code,sport,birth_year,age_2026,gender,location,coach_interviewed,question_key,response_text,conformity_risk_note,code_1
T1_A01,T1,athlete,Uppsala Sirius U15,USR-U15,Football,2010,15,Male,"Uppsala, Sweden",no,Q_Warmup,"I train four times a week. But sometimes I go to the gym, so in training overall I go maybe six or seven times a week.",,other_contextual
T1_A01,T1,athlete,Uppsala Sirius U15,USR-U15,Football,2010,15,Male,"Uppsala, Sweden",no,Q1_Kids,"I think it would be good. Yeah, great.",,positive_acceptance
T1_A01,T1,athlete,Uppsala Sirius U15,USR-U15,Football,2010,15,Male,"Uppsala, Sweden",no,Q2_Kids,"Yes, I think it's a motivation because it's kind of exciting, you have something you can, what do you call it, save up for. And I think it's a great way to keep players motivated and to answer the questions.",,motivation_reward
T1_A01,T1,athlete,Uppsala Sirius U15,USR-U15,Football,2010,15,Male,"Uppsala, Sweden",no,Q3_Kids,"Yeah, I think it would be alright.",,social_comfort_team; reuse_sustainability
T1_A01,T1,athlete,Uppsala Sirius U15,USR-U15,Football,2010,15,Male,"Uppsala, Sweden",no,Q4_Kids,"Anything that, yeah, probably anything like football shoes, chin pads, t-shirts, hoodies, and just training equipment overall.",,logistics_exchange
T1_A01,T1,athlete,Uppsala Sirius U15,USR-U15,Football,2010,15,Male,"Uppsala, Sweden",no,Q5_Kids,"Like probably chin pads, if it's not a too worn apart football boot, it could be, what do you call it, goalie gloves, it could be anything like that.",,motivation_reward; hygiene_quality_concern; logistics_exchange
T1_A01,T1,athlete,Uppsala Sirius U15,USR-U15,Football,2010,15,Male,"Uppsala, Sweden",no,Q6_Kids,"prefer through app Yes, that would be much more comfortable.",,app_preference; face_to_face_preference
T1_A01,T1,athlete,Uppsala Sirius U15,USR-U15,Football,2010,15,Male,"Uppsala, Sweden",no,Q7_Kids,"Yeah, it'd probably feel a little weird, but I think for me it wouldn't be such a big deal. It could feel weird sometimes, but I think it's good.",,positive_acceptance
T1_A01,T1,athlete,Uppsala Sirius U15,USR-U15,Football,2010,15,Male,"Uppsala, Sweden",no,Q8_Kids,Yes. ill be comfortable exchanging the goods with different people,,social_comfort_team; social_comfort_broad
T1_A01,T1,athlete,Uppsala Sirius U15,USR-U15,Football,2010,15,Male,"Uppsala, Sweden",no,Q9_Kids,"I wouldn't care that much, but I think it's great that everybody has put in effort to it, but some people can't and can't just give away and don't have that kind of, what do you call it, they just can't. So I think I respect it either way.",,social_comfort_broad; reuse_sustainability
